68,10D,4
57,104,29
57,111,23
55,10C,626
70,10D,4
57,104,38
55,111,23
56,10B,57
58,10C,638
68,10D,4
58,104,37
55,111,24
56,110,7
55,10C,632
70,10D,4
56,104,40
57,111,24
56,10E,-3
56,10C,637
69,10D,4
57,104,40
55,111,24
58,10C,654
67,10D,4
57,104,38
56,111,24
62,10B,66
58,10C,661
68,10D,5
69,104,37
56,111,24
57,110,7
55,10C,664
70,10D,4
68,104,37
57,111,24
56,10E,-6
56,10C,702
69,10D,5
68,104,34
57,111,23
56,10C,701
68,10D,4
76,104,33
57,111,23
56,10B,61
58,10C,740
73,10D,5
69,104,30
58,111,23
62,110,6
55,10C,737
68,10D,4
